investor,year,weighted_score
"SOUTH GEORGIA CAPITAL, LLC",2015,29.24667331767637
ARMSTRONG HENRY H ASSOCIATES INC,2013,29.238404268136822
Spears Abacus Advisors LLC,2015,29.229733946496875
"Blume Capital Management, Inc.",2017,29.22060509557716
DILLON & ASSOCIATES INC,2017,29.17290041941889
TWEEDY BROWNE CO LLC//,2015,29.16287057434253
GREENHAVEN ASSOCIATES INC,2015,29.11427330204403
PRIVATE ASSET MANAGEMENT INC,2013,29.100884298562047
SCHULHOFF & CO INC,2013,29.074662661825847
"Pacifica Capital Investments, LLC",2015,29.072960952203104
APPALOOSA MANAGEMENT LP,2015,29.05516096853558
"Gibraltar Capital Management, Inc.",2017,29.03775498500291
EDGEWOOD MANAGEMENT LLC,2013,28.988038088550002
"WestEnd Advisors, LLC",2013,28.98393791957435
BERKSHIRE HATHAWAY INC,2017,28.95891482287971
SMITHBRIDGE ASSET MANAGEMENT INC/DE,2013,28.935026651386952
MUFG Securities EMEA plc,2017,28.888427289673047
LEONARD GREEN PARTNERS LP,2013,28.829566584087612
Shelter Ins Profit Sharing,2015,28.824972339557867
J O Hambro Investment Management Ltd,2013,28.80620143640872
"Coho Partners, Ltd.",2013,28.802147073766143
Caledonia (Private) Investments Pty Ltd,2013,28.80031129299505
GARLAND CAPITAL MANAGEMENT INC,2017,28.796412033220477
Jetstream Capital LLC,2015,28.788548477073842
Fundsmith LLP,2017,28.781252508906995
"GREATMARK INVESTMENT PARTNERS, INC.",2015,28.748376270676538
Financial Engines Advisors L.L.C.,2015,28.73663784622373
MARSHALL WACE ASIA Ltd,2013,28.723393297933626
"Pettee Investors, Inc.",2017,28.622208041844747
Lombard Odier & Cie (Bahamas) Ltd,2015,28.617607751021335
"First Fiduciary Investment Counsel, Inc.",2013,28.564946489024944
"EDMP, INC.",2017,28.529894046871007
NICHOLS & PRATT ADVISERS LLP /MA,2013,28.513761507052102
Theleme Partners LLP,2017,28.500931214400246
SCHWERIN BOYLE CAPITAL MANAGEMENT INC,2015,28.496362984444776
OLD POINT TRUST & FINANCIAL SERVICES N A,2017,28.492624294471575
Suncoast Equity Management,2013,28.491108557890502
Consulta Ltd,2017,28.48967348344251
"ABRAMS BISON INVESTMENTS, LLC",2013,28.481944151379913
CENTRAL SECURITIES CORP,2015,28.460363986187218
"YCG, LLC",2013,28.457446531529385
AZENTUS CAPITAL MANAGEMENT Ltd,2013,28.416358366825257
"Lakeshore Capital, LLC",2013,28.390332687714327
"J&P(CHINA)CAPITAL MANAGEMENT CO.,LTD",2017,28.379613300382324
FAIRHOLME CAPITAL MANAGEMENT LLC,2015,28.375239022028786
CINCINNATI CASUALTY CO,2015,28.341220928304104
"Forester Capital Management, LTD",2013,28.309872672035088
"R.H. Dinel Investment Counsel, Inc.",2015,28.290907082298062
LaFleur & Godfrey LLC,2015,28.28112163405334
Lloyds Banking Group plc,2015,28.27551404939135
LYNCH & ASSOCIATES/IN,2013,28.22585616029823
Benin Management CORP,2017,28.223556485969464
C WorldWide Group Holding A/S,2017,28.211096858730563
Family Capital Trust Co,2013,28.19506142168671
ARMSTRONG HENRY H ASSOCIATES INC,2017,28.1558510022117
STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,2013,28.14023993933458
"TCTC Holdings, LLC",2013,28.137408159065824
Astenbeck Capital Management LLC,2013,28.08874799229548
CULLINAN ASSOCIATES INC,2015,28.014190829119727
Lindsell Train Ltd,2013,27.99974811581891
CADINHA & CO LLC,2013,27.98016857927812
"TEGEAN CAPITAL MANAGEMENT, LLC",2017,27.958004906231128
HALL LAURIE J TRUSTEE,2013,27.937645335761964
HENDLEY & CO INC,2017,27.88478664633768
UNITED FIRE GROUP INC,2013,27.85893056091049
GILLESPIE ROBINSON & GRIMM INC,2013,27.83099343400743
Burren Capital Advisors Ltd,2013,27.814018577006866
"Rench Wealth Management, Inc.",2015,27.81319646475951
GLADE BROOK CAPITAL PARTNERS LLC,2015,27.794873130319328
"Birchview Capital, LP",2015,27.77085930417786
PLATINUM INVESTMENT MANAGEMENT LTD,2013,27.749607505806654
"Private Wealth Partners, LLC",2017,27.74169510057184
"STEWART WEST INDIES TRADING CO., LTD",2017,27.70606602680178
"Smead Capital Management, Inc.",2017,27.700863319780474
Hikari Power Ltd,2015,27.690572447952086
"Martin Investment Management, LLC",2015,27.658845671192445
Kemnay Advisory Services Inc.,2013,27.63683603530034
"Mizuho Bank, Ltd.",2015,27.59632092276584
First Reserve GP XII Ltd,2017,27.59413358553028
SEGER ELVEKROG INC,2013,27.57164366082972
Horseman Capital Management Ltd,2013,27.5581899924932
"GREATMARK INVESTMENT PARTNERS, INC.",2013,27.55102228995316
UNITED FIRE GROUP INC,2015,27.54739891510008
MAR VISTA INVESTMENT PARTNERS LLC,2015,27.532020462408234
HUTCHINSON CAPITAL MANAGEMENT/CA,2013,27.514411421647115
RIVERSIDE ADVISORS LLC,2013,27.508722979904185
Shelter Ins Retirement Plan,2017,27.48956316389313
BEL AIR INVESTMENT ADVISORS LLC,2013,27.44559362650048
MOUNT VERNON ASSOCIATES INC /MD/,2015,27.438435854857953
SCHWERIN BOYLE CAPITAL MANAGEMENT INC,2013,27.419126551555557
"EP Wealth Advisors, Inc.",2013,27.40187037807913
SPERO-SMITH INVESTMENT ADVISERS INC /OH,2013,27.35774894881934
CAPITAL COUNSEL LLC/NY,2015,27.34175416333652
Eagle Ridge Investment Management,2015,27.305699895571145
SAWGRASS ASSET MANAGEMENT LLC,2013,27.293714353389294
TRUSTCO BANK CORP N Y,2015,27.263030312249242
Gabalex Capital Management LLC,2017,27.210136165664313
"BRANDYWINE MANAGERS, LLC",2013,27.19303148555424
GRAND JEAN CAPITAL MANAGEMENT INC,2017,27.176821361879913
GLENVIEW STATE BANK TRUST DEPT.,2015,27.148355249991248
SIPHRON CAPITAL MANAGEMENT /CA/,2013,27.142155798912196
Iowa State Bank,2015,27.12606809654219
MCMILLION CAPITAL MANAGEMENT INC,2013,27.107256614517173
"Hikari Tsushin, Inc.",2015,27.085763003743885
"Alecta Pensionsforsakring, Omsesidigt",2015,27.008512238178614
Hirtle Callaghan & Co LLC,2013,27.005301863561893
COMPASS CAPITAL MANAGEMENT INC/,2013,26.984829605857392
Randolph Co Inc,2017,26.977135649632164
"Bank of Kentucky, Inc.",2013,26.945758625287148
"Spindletop Capital, LLC",2015,26.92656707413869
STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,2015,26.921865285715185
Iowa State Bank,2013,26.914005618866426
Randolph Co Inc,2015,26.913627326698382
CINCINNATI INSURANCE CO,2015,26.86996396298971
"American Investment Services, Inc.",2013,26.850453150372992
Shelter Ins Retirement Plan,2015,26.826053391396947
Manchester Capital Management LLC,2017,26.815699537857544
"GRIFFIN ASSET MANAGEMENT, INC.",2013,26.804769852412853
Natixis Asset Management,2013,26.78206970352636
"SCHARF INVESTMENTS, LLC",2015,26.735347103420626
VAN STRUM & TOWNE INC,2013,26.699163332047313
EQUITY INVESTMENT CORP/GA,2015,26.69875075664309
Silver Point Capital L.P.,2013,26.670209571411824
Edge Wealth Management LLC,2017,26.65740724280845
SPERO-SMITH INVESTMENT ADVISERS INC /OH,2015,26.65236029496462
"Bedell Frazier Investment Counseling, LLC",2015,26.63883827927186
SIRIOS CAPITAL MANAGEMENT L P,2017,26.630128492452037
UNITED BANK /VA/,2015,26.615956669023202
Barton Investment Management,2013,26.446688957336583
LEVY HARKINS & CO INC/,2015,26.444868887614344
GLENVIEW STATE BANK TRUST DEPT.,2017,26.44300345874492
"Small Cap Value Fund, Inc.",2015,26.42829471425657
