,investor,year,weighted_score
6871,GOFEN & GLOSSBERG LLC /IL/,2013,21.194355590651714
7327,Grandmaster Capital Management LLC,2013,21.13258624222884
9614,LVM CAPITAL MANAGEMENT LTD/MI,2013,21.124037481215193
8332,INDEPENDENT INVESTORS INC,2013,21.120669945904698
6091,FORBES J M & CO LLP,2013,21.11740861608039
17104,"Violich Capital Management, Inc.",2013,21.10618691676458
3928,"Capital Investment Services of America, Inc.",2013,21.1007318553486
17408,WHITE BAY PT LLC,2013,21.08587495148659
3329,CLIFFORD SWAN INVESTMENT COUNSEL LLC,2013,21.07137172301079
8769,JHL Capital Group LLC,2013,20.998176028639808
508,APPALOOSA MANAGEMENT LP,2013,20.995459900656574
13943,"RiverPoint Capital Management, LLC",2013,20.97874718074662
5324,ELEFANTE MICHAEL B,2013,20.942739426421866
17497,WISCONSIN CAPITAL MANAGEMENT LLC,2013,20.81091887746401
3060,CAUSEWAY CAPITAL MANAGEMENT LLC,2013,20.79935425855013
9141,Kames Capital Management Ltd,2013,20.779563110469002
14186,"SCHARF INVESTMENTS, LLC",2013,20.778896479278238
5946,FIRST FOUNDATION ADVISORS,2013,20.734320527256628
2552,Boltwood Capital Management,2013,20.712163039665242
10746,"Marble Harbor Investment Counsel, LLC",2013,20.70296114661406
1410,BAHL & GAYNOR INC,2013,20.70079166175492
7997,Hayek Kallen Investment Management,2013,20.672754493244767
14551,SMITH CHAS P & ASSOCIATES PA CPAS,2013,20.670649940612446
17059,Veritas Investment Management (UK) Ltd,2013,20.668998869971002
17669,"Welch Group, LLC",2013,20.658719075014698
2142,BURROUGHS  HUTCHINSON,2013,20.64798494381409
15238,"Sequent Asset Management, LLC",2013,20.623579302826204
7565,HAVERFORD TRUST CO,2013,20.609401776290646
5404,EQUITY INVESTMENT CORP/GA,2013,20.60871361511498
6919,"GRAHAM & DODD FUND, LLC",2013,20.53917039775961
5161,Dominick & Dominick LLC,2013,20.52645090125642
8675,JACOBS & CO/CA,2013,20.525358135564215
17216,"WCG Management, L.P.",2013,20.51813078368656
11730,OAK ASSOCIATES LTD /OH/,2013,20.49669438369399
4795,DELTA ASSET MANAGEMENT LLC/TN,2013,20.48851438242658
13429,"REDWOOD CAPITAL MANAGEMENT, LLC",2013,20.484973435796533
16594,"Tricadia Capital Management, LLC",2013,20.46600721439389
1902,BOYAR ASSET MANAGEMENT INC,2013,20.45656005562811
10816,Matthew 25 Management Corp,2013,20.429586536044173
10416,MIDWEST INVESTMENT MANAGEMENT LLC,2013,20.407244862117537
4947,"DONALDSON CAPITAL MANAGEMENT, LLC",2013,20.385173380104217
14751,ST GERMAIN D J CO INC,2013,20.356132912721804
3845,"Cambridge Financial Group, Inc.",2013,20.35436118883185
9375,LATHROP INVESTMENT MANAGEMENT CORP,2013,20.33865427287504
8650,"Iwamoto, Kong & Co., Inc.",2013,20.275609644456694
17239,"WEBSTER BANK, N. A.",2013,20.270306941117042
9725,"Legacy Capital Partners, Inc.",2013,20.235996682736303
10592,MRJ CAPITAL INC,2013,20.222727014618695
2716,"Brown Advisory Securities, LLC",2013,20.210008923223153
10193,MARSICO CAPITAL MANAGEMENT LLC,2013,20.18306218043041
437,AMI ASSET MANAGEMENT CORP,2013,20.168988609252427
4228,Clarkston Capital Partners LLC,2013,20.159581801020444
16910,VESTOR CAPITAL CORP,2013,20.150207709758323
3638,CRAWFORD INVESTMENT COUNSEL INC,2013,20.095854964046424
14130,"SANTA BARBARA ASSET MANAGEMENT, LLC",2013,20.07296852513706
13250,QUAKER CAPITAL MANAGEMENT CORP,2013,20.06776996507108
4868,DIAMOND HILL CAPITAL MANAGEMENT INC,2013,20.051894492361512
2889,CANANDAIGUA NATIONAL BANK & TRUST CO,2013,20.048826366739586
12705,Paragon Capital Management LLC,2013,20.047988434397706
329,ALTA CAPITAL MANAGEMENT LLC/,2013,20.025342390089968
8371,INSTITUTIONAL CAPITAL LLC,2013,20.013867638198068
1785,"BLB&B Advisors, LLC",2013,19.98515417608648
2928,CAPITAL CITY TRUST CO/FL,2013,19.93787078794405
13147,"Private Harbour Investment Management & Counsel, LLC",2013,19.91178391741183
9319,Kynikos Associates LP,2013,19.87023932679667
6423,"First Long Island Investors, LLC",2013,19.843364278704467
11852,ORBIMED ADVISORS LLC,2013,19.82963969120605
12302,PENSECO FINANCIAL SERVICES CORP,2013,19.807016623890842
14907,STUYVESANT CAPITAL MANAGEMENT,2013,19.735482689135978
14174,SCHALLER INVESTMENT GROUP INC,2013,19.72472255444836
14953,SUREVIEW CAPITAL LLC,2013,19.713919589179632
7329,"Granite Investment Advisors, Inc.",2013,19.663953917724076
12455,PORTLAND INVESTMENT COUNSEL INC.,2013,19.64850509819447
7555,HARVEY INVESTMENT CO LLC,2013,19.60306062308884
12170,PARK NATIONAL CORP /OH/,2013,19.599281619868155
11453,"NWQ INVESTMENT MANAGEMENT COMPANY, LLC",2013,19.597695850405017
2136,BURNS J W & CO INC/NY,2013,19.58556042783893
5687,Estabrook Capital Management,2013,19.562270565340434
13166,"Private Wealth Partners, LLC",2013,19.536049898128862
4805,DELTA LLOYD NV,2013,19.535239565447743
3110,CENTRAL SECURITIES CORP,2013,19.51390387222366
6889,GOLUB GROUP LLC,2013,19.50196195081174
11796,OLD NATIONAL BANCORP /IN/,2013,19.50185522540055
9931,Longview Partners (Guernsey) LTD,2013,19.490173352677346
1179,Argyle Capital Management Inc.,2013,19.485215337031274
13067,Poplar Forest Capital LLC,2013,19.482093515274446
