,investor,year,weighted_score
5681,"Essex Financial Services, Inc.",2013,18.31201485509627
8916,"Jolley Asset Management, LLC",2013,18.26359159741134
7992,Hawkins Capital L.P.,2013,18.20568373580889
13981,Rodgers Brothers Inc.,2013,18.203056697755766
15101,Sarasin & Partners LLP,2013,18.03705911145865
7819,"HS Management Partners, LLC",2013,18.036770938432714
8961,KANAWHA CAPITAL MANAGEMENT LLC,2013,18.01756569249382
16525,Toscafund Asset Management LLP,2013,17.986258461588683
17891,"YHB Investment Advisors, Inc.",2013,17.98448175195237
13780,Raub Brock Capital Management LP,2013,17.92946946445418
524,AR ASSET MANAGEMENT INC,2013,17.90659826363625
13523,RIVER & MERCANTILE ASSET MANAGEMENT LLP,2013,17.894793284721374
9339,"LAKEWOOD CAPITAL MANAGEMENT, LP",2013,17.888795298120566
5993,FIRST NATIONAL BANK SIOUX FALLS,2013,17.83267085033597
6142,FOUNDATION RESOURCE MANAGEMENT INC,2013,17.76947339922751
13855,Renaissance Investment Group LLC,2013,17.70836604582757
2260,Bartlett & Co. LLC,2013,17.582063093652348
13884,"Reynders McVeigh Capital Management, LLC",2013,17.5686375295784
6994,GREENLIGHT CAPITAL INC,2013,17.534981735553608
17389,WEYBOSSET RESEARCH & MANAGEMENT LLC,2013,17.369546844674826
3473,COMMUNITY TRUST & INVESTMENT CO,2013,17.325650402862582
3247,"CIM, LLC",2013,17.26564588667106
11099,Murphy Pohlad Asset Management LLC,2013,17.263683125598742
8997,KDI CAPITAL PARTNERS LLC,2013,17.221332169678682
12976,"Pineno Levin & Ford Asset Management, Inc.",2013,17.174425828844225
15876,"TCI Wealth Advisors, Inc.",2013,17.14964108851778
15409,"Smead Capital Management, Inc.",2013,17.146462879901573
15695,Strategic Advisors LLC,2013,17.114274820792904
11364,NORTHEAST INVESTMENT MANAGEMENT,2013,17.080970183902277
3808,"Callahan Advisors, LLC",2013,17.078570580441056
10461,MITCHELL GROUP INC,2013,17.076236941229258
3969,Cardinal Capital Management,2013,17.01419303137407
10251,MASTRAPASQUA ASSET MANAGEMENT INC,2013,16.934148320592577
994,"American Assets Investment Management, LLC",2013,16.926515201392434
10787,Maryland Capital Management,2013,16.91634434304259
8061,Hexavest Inc.,2013,16.91257840253621
3954,Capital World Investors,2013,16.880880663429608
2708,Brookmont Capital Management,2013,16.841551949358813
11323,NORDEA INVESTMENT MANAGEMENT AB,2013,16.834210120827585
11305,NOESIS CAPITAL MANGEMENT CORP,2013,16.787351620093016
7876,HYMAN CHARLES D,2013,16.71494818362276
12088,P.R. Herzig & Co. Inc.,2013,16.710700623767657
5205,Duquesne Family Office LLC,2013,16.657445671688944
5879,"FIELDPOINT PRIVATE ADVISORS, INC",2013,16.64388058089743
9644,"Lafayette Investments, Inc.",2013,16.462977996398283
16237,TRUST CO OF OKLAHOMA,2013,16.446762555643154
8259,Huntington Steele LLC,2013,16.41001766495353
2870,CAMBRIDGE TRUST CO,2013,16.388199455712112
11662,NorthCoast Asset Management LLC,2013,16.376333228580656
7369,"Greenbrier Partners Capital Management, LLC",2013,16.347397054871603
2121,BURKE & HERBERT BANK & TRUST CO,2013,16.342741348186173
15852,"TAURUS ASSET MANAGEMENT, LLC",2013,16.332709507441457
9107,"KNIGHTSBRIDGE ASSET MANAGEMENT, LLC",2013,16.304706066424707
255,AKRE CAPITAL MANAGEMENT LLC,2013,16.296224579036505
12557,PROVIDENT TRUST CO,2013,16.29373553779297
9445,"LEVIN CAPITAL STRATEGIES, L.P.",2013,16.274414135939715
15989,"THOMPSON INVESTMENT MANAGEMENT, INC.",2013,16.26066425219195
16151,TOWER BRIDGE ADVISORS,2013,16.165751147815715
4161,"Chieftain Capital Management, Inc.",2013,16.09245241481088
10059,MAIRS & POWER INC,2013,16.053560244587548
535,ARCADIA INVESTMENT MANAGEMENT CORP/MI,2013,16.007881003425666
17772,White Pine Investment CO,2013,15.999427150008316
5154,DnB Asset Management AS,2013,15.979208492777861
9064,"KING STREET CAPITAL MANAGEMENT, L.P.",2013,15.961920495323906
5439,EVERENCE CAPITAL MANAGEMENT INC,2013,15.92976260341747
5308,"EDMP, INC.",2013,15.900270925487835
1024,American Research & Management Co.,2013,15.893931651706588
11743,OAKBROOK INVESTMENTS LLC,2013,15.867594714928213
14289,SECTOR GAMMA AS,2013,15.864437036619037
12118,PALLADIUM PARTNERS LLC,2013,15.832730468215525
77,ABNER HERRMAN & BROCK LLC,2013,15.760174976483805
